#
#
#
#
94	33	-57	-12	-116	-29	81	-55	66	-30	15	19	94	-66	-111	1
-69	53	13	17	60	18	-125	0	-51	-13	61	85	-12	-111	-30	2
-92	-117	75	32	-94	-121	115	-77	-86	-96	-72	-32	-11	71	-93	3
-35	83	0	-74	-9	90	-26	101	19	46	119	115	118	127	26	106
-23	-101	-18	-62	94	-69	57	111	-99	-100	19	70	103	-103	112	44
-66	78	-26	81	85	111	-21	2	-108	-50	-99	74	87	6	-22	-108
-20	101	-34	-20	-128	-36	37	55	79	39	110	-117	112	-127	75	-23
88	8	112	102	90	-114	-117	-44	35	53	118	-3	-76	80	99	-30
4	33	-57	-12	-116	-29	81	-55	66	-30	15	19	94	-66	-111	53
-69	53	13	17	60	18	-125	0	-51	-13	61	85	-12	-111	-30	-5
-92	-117	75	32	-94	-121	115	-77	-86	-96	-72	-32	-11	71	-93	-15
-35	83	0	-74	-9	90	-26	101	19	46	119	115	118	127	26	106
-23	-101	-18	-62	94	-69	57	111	-99	-100	19	70	103	-103	112	44
-66	78	-26	81	85	111	-21	2	-108	-50	-99	74	87	6	-22	-108
-20	101	-34	-20	-128	-36	37	55	79	39	110	-117	112	-127	75	-23
88	8	112	102	90	-114	-117	-44	35	53	118	-3	-76	80	99	-30
5	33	-57	-12	-116	-29	81	-55	66	-30	15	19	94	-66	-111	53
-69	53	13	17	60	18	-125	0	-51	-13	61	85	-12	-111	-30	-5
-92	-117	75	32	-94	-121	115	-77	-86	-96	-72	-32	-11	71	-93	-15
-35	83	0	-74	-9	90	-26	101	19	46	119	115	118	127	26	106
-23	-101	-18	-62	94	-69	57	111	-99	-100	19	70	103	-103	112	44
-66	78	-26	81	85	111	-21	2	-108	-50	-99	74	87	6	-22	-108
-20	101	-34	-20	-128	-36	37	55	79	39	110	-117	112	-127	75	-23
88	8	112	102	90	-114	-117	-44	35	53	118	-3	-76	80	99	-30
6	33	-57	-12	-116	-29	81	-55	66	-30	15	19	94	-66	-111	53
-69	53	13	17	60	18	-125	0	-51	-13	61	85	-12	-111	-30	-5
-92	-117	75	32	-94	-121	115	-77	-86	-96	-72	-32	-11	71	-93	-15
-35	83	0	-74	-9	90	-26	101	19	46	119	115	118	127	26	106
-23	-101	-18	-62	94	-69	57	111	-99	-100	19	70	103	-103	112	44
-66	78	-26	81	85	111	-21	2	-108	-50	-99	74	87	6	-22	-108
-20	101	-34	-20	-128	-36	37	55	79	39	110	-117	112	-127	75	-23
88	8	112	102	90	-114	-117	-44	35	53	118	-3	-76	80	99	-30
